city_name_remove,city_id_name_remove
长治,邯郸
佛山,茂名
蚌埠,淮南
通辽,阜新
常德,荆州
长治,晋中
庆阳,兰州
自贡,乐山
乌兰察布,包头
深圳,赣州
巴彦淖尔,乌海
嘉兴,金华
张家口,乌兰察布
鄂尔多斯,忻州
绍兴,台州
天津,滨州
临沂,菏泽
巴中,南充
楚雄彝族自治州,大理白族自治州
北京,烟台
常州,南通
蚌埠,亳州
菏泽,青岛
信阳,阜阳
聊城,菏泽
长治,临汾
北京,菏泽
扬州,盐城
太原,晋城
阜新,锦州
淮北,亳州
济南,日照
哈尔滨,吉林
赤峰,承德
石家庄,太原
开封,菏泽
聊城,泰安
乌兰察布,锡林郭勒盟
榆林,吕梁
濮阳,菏泽
吕梁,临汾
天津,承德
渭南,铜川
苏州,连云港
武威,金昌
渭南,运城
张家口,天津
佛山,贵港
重庆,自贡
张家口,锡林郭勒盟
郑州,济源
沧州,滨州
连云港,日照
上海,宿迁
宿州,商丘
庆阳,平凉
大理白族自治州,临沧
保定,邯郸
江门,阳江
昆明,凉山彝族自治州
天津,济南
洛阳,济源
驻马店,平顶山
天津,衡水
石家庄,阳泉
延安,渭南
西安,平凉
南阳,洛阳
来宾,贵港
运城,三门峡
佛山,韶关
张家口,大同
吉林,延边朝鲜族自治州
北海,玉林
扬州,南通
驻马店,阜阳
邯郸,濮阳
钦州,玉林
清远,肇庆
开封,许昌
镇江,泰州
徐州,淮北
韶关,深圳
忻州,朔州
深圳,肇庆
大同,乌兰察布
葫芦岛,朝阳
周口,亳州
绥化,齐齐哈尔
鄂尔多斯,巴彦淖尔
